,endTime,artistName,trackName,msPlayed
1469,2021-08-16 10:51,*NSYNC,Bye Bye Bye,144447
1470,2021-08-16 10:55,Coldplay,Hymn for the Weekend,258200
1471,2021-08-16 10:58,Selena Gomez,Wolves,197934
1472,2021-08-16 10:59,Why Don't We,Unbelievable,43696
1473,2021-08-16 10:59,Why Don't We,Talk,2349
1474,2021-08-16 10:59,The Vamps,Just My Type,1093
1475,2021-08-16 11:07,The Vamps,Just My Type,211366
1476,2021-08-16 11:10,Why Don't We,Talk,189933
1477,2021-08-16 11:13,Panic! At The Disco,High Hopes,189933
1478,2021-08-16 12:00,Why Don't We,Trust Fund Baby,239391
1479,2021-08-16 12:09,The Vamps,Wild Heart,41179
1480,2021-08-16 12:12,Why Don't We,Trust Fund Baby,184434
1481,2021-08-16 12:14,The Vamps,I Found A Girl,125242
1482,2021-08-16 13:40,The Vamps,I Found A Girl,67016
1483,2021-08-16 13:40,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),18941
1484,2021-08-16 13:45,Coldplay,Hymn for the Weekend,258186
1485,2021-08-16 13:49,Coldplay,Hymn for the Weekend,258183
1486,2021-08-16 15:15,Coldplay,Hymn for the Weekend,258080
1487,2021-08-16 15:18,Coldplay,Hymn for the Weekend,39561
1488,2021-08-16 16:02,Sam Smith,Diamonds,213869
1489,2021-08-16 16:07,Coldplay,Hymn for the Weekend,258266
1490,2021-08-16 16:11,Selena Gomez,Wolves,197993
1491,2021-08-16 16:14,Why Don't We,Unbelievable,189384
1492,2021-08-16 16:18,*NSYNC,Bye Bye Bye,162423
1493,2021-08-16 16:22,Coldplay,Hymn for the Weekend,258266
1494,2021-08-16 16:26,Selena Gomez,Wolves,197993
1495,2021-08-16 16:29,Why Don't We,Unbelievable,189384
1496,2021-08-16 16:32,*NSYNC,Bye Bye Bye,200400
1497,2021-08-16 23:34,Nick Jonas,Jealous,223106
1498,2021-08-17 02:05,Coldplay,Hymn for the Weekend,258266
1499,2021-08-17 02:11,Selena Gomez,Wolves,197993
1500,2021-08-17 02:15,Why Don't We,Unbelievable,9289
1501,2021-08-17 02:26,Coldplay,Hymn for the Weekend,51613
1502,2021-08-17 05:05,Coldplay,Hymn for the Weekend,31220
1503,2021-08-17 05:17,The Score,Can You Hear Me Now,194227
1504,2021-08-17 05:19,The Score,All Of Me (feat. Travis Barker),27819
1505,2021-08-17 05:22,The Score,Head Up,169943
1506,2021-08-17 05:26,The Score,Head Up,169880
1507,2021-08-17 05:29,The Chainsmokers,See The Way,177935
1508,2021-08-17 05:34,The Chainsmokers,Push My Luck,181772
1509,2021-08-17 05:38,The Chainsmokers,Kills You Slowly,213192
1510,2021-08-17 05:41,The Chainsmokers,Kills You Slowly,213297
1511,2021-08-17 05:48,The Chainsmokers,Kills You Slowly,213105
1512,2021-08-17 05:51,The Chainsmokers,Kills You Slowly,213196
1513,2021-08-17 05:56,Alec Benjamin,Water Fountain,218733
1514,2021-08-17 05:59,Alec Benjamin,Annabelle's Homework,192450
1515,2021-08-17 06:01,Alec Benjamin,Swim,144220
1516,2021-08-17 06:04,Alec Benjamin,Outrunning Karma,188702
1517,2021-08-17 06:07,Alec Benjamin,1994,183937
1518,2021-08-17 06:11,Shakira,Chantaje (feat. Maluma),195655
1519,2021-08-17 06:13,Marshmello,Happier,109181
1520,2021-08-17 06:16,Billie Eilish,Six Feet Under,189449
1521,2021-08-17 06:19,Riley Johns,Don't Give Up On Me (From FIve Feet Apart),199436
1522,2021-08-17 06:23,Marshmello,FRIENDS,202604
1523,2021-08-17 06:42,Anne-Marie,2002,33213
1524,2021-08-17 06:45,Ava Max,Kings & Queens,162186
1525,2021-08-17 06:52,Ava Max,Sweet but Psycho,187367
1526,2021-08-17 06:59,Alan Walker,"Alone, Pt. II",80795
1527,2021-08-17 07:00,Ava Max,Salt,55712
1528,2021-08-17 07:04,OneRepublic,Counting Stars,257211
1529,2021-08-17 07:07,OneRepublic,Kids,14929
1530,2021-08-17 07:07,OneRepublic,Run,168947
1531,2021-08-17 07:11,Shawn Mendes,There's Nothing Holdin' Me Back,199244
1532,2021-08-17 07:49,Shawn Mendes,Treat You Better,47784
1533,2021-08-17 07:52,Shawn Mendes,Señorita,189932
1534,2021-08-17 07:53,Halsey,Without Me,65435
1535,2021-08-17 07:53,Shawn Mendes,In My Blood,65435
1536,2021-08-17 07:58,Halsey,You should be sad,77299
1537,2021-08-17 08:01,Zara Larsson,Only You,222291
1538,2021-08-17 08:05,PUBLIC,Make You Mine,232703
1539,2021-08-17 08:13,Seven Lions,First Time (feat. Dylan Matthew),233741
1540,2021-08-17 08:16,Coldplay,Hymn for the Weekend,208268
1541,2021-08-17 08:20,The Score,Can You Hear Me Now,194235
1542,2021-08-17 08:22,The Score,All Of Me (feat. Travis Barker),163476
1543,2021-08-17 08:26,The Score,Golden,186306
1544,2021-08-17 08:29,The Score,Fire,231394
1545,2021-08-17 08:33,The Score,Fire,231394
1546,2021-08-17 08:37,The Score,Fire,231394
